FID,Species,Longitude,Latitude,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,potveg
58,L_maackii,113.166529,30.663372,16.83568868,8.117667877,24.82592353,889.6497676,32.99834803,0.300000012,32.69834801,25.41628248,5.583333225,27.49629409,5.583333225,1120.800028,167.793794,25.41188,53.05031679,482.9864054,102.8203027,450.1790167,102.8203027,5
59,L_maackii,114.316005,30.553863,16.9921775,7.758327233,23.94817371,898.260856,32.94938544,0.553065345,32.39632009,25.54085422,7.659457604,27.77489738,5.642791033,1273.574533,206.7565467,30.34136666,55.24404723,565.6048,127.8292267,511.2148533,128.3656667,15
60,L_maackii,110.853585,30.471812,13.55670272,8.456713761,27.87749174,777.1791482,28.23480291,-2.100073717,30.33487663,22.90472263,3.680032738,22.90472263,3.680032738,1315.03168,211.18724,25.42212,60.13271337,572.9541027,87.34474269,572.9541027,87.34474269,5
61,L_maackii,120.172974,30.273977,16.76125786,7.764790207,24.27423593,871.408559,32.88772524,0.899999976,31.98772527,24.80296125,8.025861811,27.18784332,5.792528621,1343.000587,189.4038292,48.65745294,41.69135047,478.2721567,167.6590442,469.8594151,194.7495588,12
62,L_maackii,110.871148,30.222233,12.21100393,9.443145177,30.96046627,745.0626782,27.13436787,-3.366020048,30.50038792,20.58786016,2.708450087,21.18553217,2.708450087,1377.031047,207.1767643,27.02328217,58.02246308,582.5010443,94.71064434,582.1690043,94.71064434,5
63,L_maackii,110.032936,29.887732,14.48705613,8.06472131,27.01986216,787.1359064,28.64062858,-1.202434963,29.84306354,22.03038149,4.524479789,23.98252374,4.524479789,1433.147733,226.1007052,27.85161482,60.56896777,636.42448,93.65554964,611.95232,93.65554964,6
64,L_maackii,121.54399,29.868336,17.23132557,7.204834759,23.81147919,828.0282116,32.45767357,2.200000048,30.25767352,27.04091486,9.238129825,27.04091486,6.790914863,1277.856745,183,48.10271078,41.78740456,456.79968,164.6755539,456.79968,178.7314031,7
65,L_maackii,121.627783,29.98515,16.8919298,7.248644183,24.0928644,825.1433946,32.36660476,2.281311722,30.08529304,26.7098943,9.026647956,26.7098943,6.597642844,1222.93972,174.89796,43.26115672,42.87751025,434.1006433,152.3771167,434.1006433,164.3043134,8
66,L_maackii,107.099276,29.157849,17.04393105,6.799958111,24.63752905,752.9369364,30.10000038,2.5,27.60000038,24.15312278,7.368030635,25.98509259,7.368030635,1179.438061,182.94188,19,64.5736263,526.7624705,63.02371053,510.7811316,63.02371053,7
67,L_maackii,110.01148,28.73358,17.12855909,7.508942195,25.03442311,817.3194719,31.59078886,1.596315415,29.99447345,24.74447156,6.861940167,26.91632403,6.861940167,1383.113946,243.018423,32,60.15136983,628.0440922,110.018423,543.7072691,110.018423,8
68,L_maackii,120.68445,28.308254,15.59268732,6.831750234,25.20550263,747.9620334,29.79401934,2.689897755,27.10412159,24.39074903,8.627356957,24.56008454,6.348469095,1626.50965,236.1842811,43.98351136,49.22018005,599.6621104,174.9340454,565.4386986,178.9435654,7
69,L_maackii,99.28717,27.177166,12.70655369,9.634521673,37.26711364,537.7928807,25.4381358,-0.413848008,25.85198381,18.39857602,6.682810641,18.82244629,5.635148212,974.8213343,155.24016,14,60.81585597,406.5596415,59,404.5398815,100,7
70,L_maackii,100.229945,26.876096,12.77366109,11.39538111,45.77447764,480.1275905,24.78684744,-0.107804398,24.89465184,18.21967362,7.177853421,18.21967362,6.50040545,792.062396,134.723116,11,62.90356593,360.00892,46,360.00892,60,11
71,L_maackii,99.905548,26.537043,13.99156573,10.92841917,45.08221159,472.1905357,25.63693955,1.396484947,24.2404546,19.23091897,8.534621364,19.23091897,7.738318176,859.7494206,133.2975806,13.63060972,57.16012681,368.5600108,57.63060972,368.5600108,76.63060972,10
72,L_maackii,99.47,26.5,6.816666716,9.376666741,37.59726914,510.1726707,19.32000008,-5.620000076,24.94000015,12.83666679,1.190000065,12.83666679,0.40333333,895.6,150,13,60.83107154,401.2,59.2,401.2,70.8,7
73,L_maackii,99.951049,26.11116,14.64175708,11.0725423,45.11623525,468.2775953,26.14650848,1.604269874,24.5422386,19.71853481,9.00655314,19.71853481,8.333069249,868.7231415,137.9168185,14.2965015,59.46111168,388.96156,60.4223815,388.96156,70.2965015,13
74,L_maackii,104.255093,25.674263,14.5199264,8.83260139,38.82972167,511.4416702,25.33544447,2.588578219,22.74686625,20.0600546,7.575820734,20.0600546,7.575820734,1103.828545,224.945949,13.64554901,85.08270334,606.591498,45.59149802,606.591498,45.59149802,11
75,L_maackii,103.82211,25.60048,14.99019691,8.923427127,40.30718186,474.7605486,25.29999924,3.161557561,22.13844168,20.06537351,8.52944712,20.06537351,8.52944712,976.8690298,193.6155757,12,84.72414639,536.597927,39.96237568,536.597927,39.96237568,8
